grid_size,grid_res,years,mu,p_spread,rho,n_repeats,initial_flammable_fraction,initial_num_flammable_clusters,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
100,500,1,0.002,0.3,0.2,3,0.2033,1248,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.3,0.2,3,0.1984,1220,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.3,0.2,3,0.1941,1191,0.0008,5,50.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.2,3,0.2056,1248,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.2,3,0.2059,1241,0.0009,5,50.0,75.0,18.708286933869708
100,500,1,0.002,0.4,0.2,3,0.1973,1230,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.5,0.2,3,0.1969,1205,0.0009,5,25.0,100.0,29.154759474226502
100,500,1,0.002,0.5,0.2,3,0.2024,1253,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.5,0.2,3,0.1986,1221,0.0012,5,50.0,75.0,12.24744871391589
100,500,1,0.002,0.6,0.2,3,0.193,1217,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.6,0.2,3,0.1974,1203,0.0012,5,25.0,150.0,48.98979485566356
100,500,1,0.002,0.6,0.2,3,0.1982,1217,0.0013,5,25.0,150.0,51.478150704935004
100,500,1,0.002,0.7,0.2,3,0.1998,1218,0.0011,5,50.0,100.0,24.49489742783178
100,500,1,0.002,0.7,0.2,3,0.2002,1259,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.7,0.2,3,0.2066,1232,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.8,0.2,3,0.1977,1235,0.0012,5,50.0,125.0,37.416573867739416
100,500,1,0.002,0.8,0.2,3,0.2073,1228,0.0019,5,100.0,150.0,33.166247903554
100,500,1,0.002,0.8,0.2,3,0.1984,1187,0.0007,5,25.0,75.0,20.0
100,500,1,0.002,0.9,0.2,3,0.2016,1222,0.0014,5,50.0,125.0,29.154759474226502
100,500,1,0.002,0.9,0.2,3,0.1942,1236,0.0012,5,50.0,125.0,37.416573867739416
100,500,1,0.002,0.9,0.2,3,0.2041,1219,0.0028,5,75.0,425.0,146.28738838327794
100,500,1,0.002,1,0.2,3,0.2005,1199,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,1,0.2,3,0.1982,1175,0.0019,5,100.0,150.0,40.0
100,500,1,0.002,1,0.2,3,0.1965,1214,0.0011,5,50.0,125.0,36.742346141747674
100,500,1,0.04,0.3,0.2,3,0.2031,1243,0.013,98,25.0,100.0,15.47525600826847
100,500,1,0.04,0.3,0.2,3,0.1994,1234,0.0132,98,25.0,100.0,16.012606965791033
100,500,1,0.04,0.3,0.2,3,0.1993,1206,0.0118,98,25.0,75.0,11.270776548150264
100,500,1,0.04,0.4,0.2,3,0.2032,1205,0.0142,98,25.0,150.0,20.241667780487113
100,500,1,0.04,0.4,0.2,3,0.1984,1255,0.0125,100,25.0,100.0,15.562374497485916
100,500,1,0.04,0.4,0.2,3,0.2022,1218,0.0137,98,25.0,125.0,19.476502037373866
100,500,1,0.04,0.5,0.2,3,0.2008,1237,0.016,97,25.0,125.0,24.092079887735657
100,500,1,0.04,0.5,0.2,3,0.2013,1235,0.0159,100,25.0,125.0,23.47738273317535
100,500,1,0.04,0.5,0.2,3,0.1945,1236,0.0145,98,25.0,150.0,22.08217255743442
100,500,1,0.04,0.6,0.2,3,0.2023,1252,0.0172,99,25.0,125.0,27.197802056234874
100,500,1,0.04,0.6,0.2,3,0.1979,1185,0.0163,98,25.0,125.0,23.13003325010084
100,500,1,0.04,0.6,0.2,3,0.2002,1235,0.017,100,25.0,175.0,29.047375096555626
100,500,1,0.04,0.7,0.2,3,0.2018,1216,0.0198,95,25.0,200.0,40.17448095081739
100,500,1,0.04,0.7,0.2,3,0.2026,1255,0.0185,100,25.0,200.0,33.980693047670464
100,500,1,0.04,0.7,0.2,3,0.1993,1242,0.0196,98,25.0,250.0,38.4654629081036
100,500,1,0.04,0.8,0.2,3,0.2026,1256,0.0215,99,50.0,200.0,37.779330708642526
100,500,1,0.04,0.8,0.2,3,0.2028,1249,0.0186,100,25.0,150.0,33.544746235439014
100,500,1,0.04,0.8,0.2,3,0.1962,1209,0.0194,97,25.0,325.0,46.39032071100719
100,500,1,0.04,0.9,0.2,3,0.1951,1213,0.0258,100,50.0,200.0,44.88596662655267
100,500,1,0.04,0.9,0.2,3,0.1965,1222,0.0229,99,50.0,250.0,44.75613843211177
100,500,1,0.04,0.9,0.2,3,0.2076,1230,0.0231,100,50.0,275.0,49.33241834737073
100,500,1,0.04,1,0.2,3,0.2007,1194,0.0259,100,50.0,250.0,49.25634476897367
100,500,1,0.04,1,0.2,3,0.2031,1245,0.0226,100,50.0,250.0,42.9563732174866
100,500,1,0.04,1,0.2,3,0.2042,1247,0.0256,100,50.0,225.0,47.86961457960572
100,500,1,0.0004,0.3,0.3,3,0.2973,1323,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,0.3,0.3,3,0.2986,1249,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.3,3,0.3079,1248,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.3,3,0.2948,1321,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,0.4,0.3,3,0.2916,1280,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.3,3,0.3031,1291,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.3,3,0.3081,1229,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.5,0.3,3,0.303,1279,0.0005,1,125.0,125.0,0.0
100,500,1,0.0004,0.5,0.3,3,0.296,1327,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.6,0.3,3,0.2976,1344,0.0005,1,125.0,125.0,0.0
100,500,1,0.0004,0.6,0.3,3,0.2995,1269,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,0.6,0.3,3,0.3026,1300,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,0.7,0.3,3,0.3057,1321,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.7,0.3,3,0.306,1332,0.0004,1,100.0,100.0,0.0
