grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.0004,0.7,0.3,3,"[33,66]","[33,66]",0.2839,1329,13.957241959685751,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.8,0.3,3,"[33,66]","[33,66]",0.2804,1337,14.431438432217591,0.0005,1,125.0,125.0,0.0
101,500,1,0.0004,0.8,0.3,3,"[33,66]","[33,66]",0.2821,1295,14.198215325050112,0.0007,1,175.0,175.0,0.0
101,500,1,0.0004,0.8,0.3,3,"[33,66]","[33,66]",0.2894,1277,13.175509711236465,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.9,0.3,3,"[33,66]","[33,66]",0.2881,1302,13.314802529160819,0.0024,1,600.0,600.0,0.0
101,500,1,0.0004,0.9,0.3,3,"[33,66]","[33,66]",0.2922,1308,12.887114313928105,0.0007,1,175.0,175.0,0.0
101,500,1,0.0004,0.9,0.3,3,"[33,66]","[33,66]",0.2893,1303,13.242801405471983,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,1,0.3,3,"[33,66]","[33,66]",0.2922,1331,12.927744721745249,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,1,0.3,3,"[33,66]","[33,66]",0.2953,1284,12.458215339233526,0.001,1,250.0,250.0,0.0
101,500,1,0.0004,1,0.3,3,"[33,66]","[33,66]",0.2903,1312,13.178818506899791,0.0017,1,425.0,425.0,0.0
101,500,1,0.002,0.3,0.3,3,"[33,66]","[33,66]",0.2873,1317,13.487116614131011,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.3,0.3,3,"[33,66]","[33,66]",0.2928,1328,12.810308109326707,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.3,0.3,3,"[33,66]","[33,66]",0.2904,1330,13.105520729921327,0.0008,1,25.0,75.0,20.0
101,500,1,0.002,0.4,0.3,3,"[33,66]","[33,66]",0.2892,1293,13.221478981341539,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.4,0.3,3,"[33,66]","[33,66]",0.2886,1307,13.324716479510402,0.0007,1,25.0,50.0,12.24744871391589
101,500,1,0.002,0.4,0.3,3,"[33,66]","[33,66]",0.2854,1338,13.743512753691455,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.5,0.3,3,"[33,66]","[33,66]",0.2798,1330,14.502293730170134,0.001,1,50.0,75.0,22.360679774997898
101,500,1,0.002,0.5,0.3,3,"[33,66]","[33,66]",0.2862,1326,13.609492853212469,0.0015,1,25.0,250.0,88.03408430829505
101,500,1,0.002,0.5,0.3,3,"[33,66]","[33,66]",0.2888,1260,13.301840777608243,0.0013,1,50.0,100.0,20.0
101,500,1,0.002,0.6,0.3,3,"[33,66]","[33,66]",0.2925,1305,12.814368553028022,0.0009,1,25.0,100.0,29.154759474226502
101,500,1,0.002,0.6,0.3,3,"[33,66]","[33,66]",0.2794,1310,14.506974343499678,0.001,1,50.0,100.0,27.386127875258307
101,500,1,0.002,0.6,0.3,3,"[33,66]","[33,66]",0.2766,1309,14.97393442846986,0.001,1,50.0,100.0,27.386127875258307
101,500,1,0.002,0.7,0.3,3,"[33,66]","[33,66]",0.2915,1328,12.984837395742964,0.0015,1,75.0,125.0,35.35533905932738
101,500,1,0.002,0.7,0.3,3,"[33,66]","[33,66]",0.2913,1357,12.943869514712913,0.0017,1,100.0,175.0,56.124860801609124
101,500,1,0.002,0.7,0.3,3,"[33,66]","[33,66]",0.278,1318,14.764339852417185,0.0012,1,50.0,100.0,25.495097567963924
101,500,1,0.002,0.8,0.3,3,"[33,66]","[33,66]",0.2872,1307,13.511085016931712,0.0009,1,25.0,100.0,29.154759474226502
101,500,1,0.002,0.8,0.3,3,"[33,66]","[33,66]",0.2851,1311,13.813436132652622,0.0016,1,75.0,125.0,33.166247903554
101,500,1,0.002,0.8,0.3,3,"[33,66]","[33,66]",0.2903,1289,13.088788894157478,0.0031,1,75.0,475.0,162.48076809271922
101,500,1,0.002,0.9,0.3,3,"[33,66]","[33,66]",0.2812,1320,14.301052756760624,0.0033,2,50.0,500.0,179.8610574860495
101,500,1,0.002,0.9,0.3,3,"[33,66]","[33,66]",0.2857,1279,13.699860827463105,0.002,1,75.0,200.0,74.16198487095663
101,500,1,0.002,0.9,0.3,3,"[33,66]","[33,66]",0.2939,1323,12.587655849199564,0.0027,1,75.0,325.0,107.93516572461452
101,500,1,0.002,1,0.3,3,"[33,66]","[33,66]",0.2838,1285,13.992071474174917,0.0014,1,75.0,125.0,33.166247903554
101,500,1,0.002,1,0.3,3,"[33,66]","[33,66]",0.2902,1315,13.10984144283921,0.0021,1,50.0,375.0,135.46217184144066
101,500,1,0.002,1,0.3,3,"[33,66]","[33,66]",0.2886,1316,13.321466743360599,0.0011,1,50.0,75.0,18.708286933869708
101,500,1,0.04,0.3,0.3,3,"[33,66]","[33,66]",0.2969,1261,12.268511578334905,0.0136,1,25.0,125.0,20.045663461365034
101,500,1,0.04,0.3,0.3,3,"[33,66]","[33,66]",0.2871,1300,13.50633732786558,0.0138,1,25.0,200.0,23.47738273317535
101,500,1,0.04,0.3,0.3,3,"[33,66]","[33,66]",0.2872,1297,13.47860236114553,0.016,1,25.0,175.0,29.369023422340092
101,500,1,0.04,0.4,0.3,3,"[33,66]","[33,66]",0.2959,1283,12.354865573392438,0.017,1,25.0,250.0,33.19367716889853
101,500,1,0.04,0.4,0.3,3,"[33,66]","[33,66]",0.2822,1328,14.193627406333075,0.0134,1,25.0,125.0,20.560497187525197
